day,score
2018-08-21,-2804.0
2018-08-22,0.0
2018-08-23,7235.0
2018-08-24,-4517.0
2018-08-25,4166.0
2018-08-26,0.0
2018-08-27,-2446.0
2018-08-28,15908.0
2018-08-29,144.0
2018-08-30,-25404.0
2018-08-31,3449.0
2018-09-01,3497.0
2018-09-02,-5290.0
2018-09-03,2353.0
2018-09-04,-2850.0
2018-09-05,3664.0
2018-09-06,-17627.0
2018-09-07,-2295.0
2018-09-08,0.0
2018-09-09,-6058.0
2018-09-10,-3681.0
2018-09-11,-7152.0
2018-09-12,-2510.0
2018-09-13,-10646.0
2018-09-14,3474.0
2018-09-15,0.0
2018-09-16,0.0
2018-09-17,0.0
2018-09-18,4486.0
2018-09-19,3192.0
2018-09-20,0.0
2018-09-21,-5730.0
2018-09-22,0.0
2018-09-25,5300.0
2018-09-26,-6041.0
2018-09-27,-43198.0
2018-09-28,-27550.0
2018-09-29,-11176.0
2018-10-01,0.0
2018-10-06,0.0
2018-10-07,-1994.0
2018-10-08,0.0
2018-10-09,546.0
2018-10-10,-833.0
2018-10-11,-14167.0
2018-10-12,-15867.0
2018-10-13,2583.0
2018-10-14,0.0
2018-10-15,-23528.0
2018-10-16,-4307.0
2018-10-17,1669.0
2018-10-18,-36407.0
2018-10-19,-11327.0
2018-10-20,-11078.0
2018-10-21,2081.0
2018-10-22,-6776.0
2018-10-23,-580.0
2018-10-24,-960.0
2018-10-25,-14305.0
2018-10-26,3420.0
2018-10-27,-7736.0
2018-10-28,0.0
2018-10-29,8405.0
2018-10-30,-57.0
2018-10-31,-2551.0
2018-11-01,-6304.0
2018-11-02,240.0
2018-11-03,2436.0
2018-11-04,-9506.0
2018-11-05,412.0
2018-11-06,0.0
2018-11-07,-2792.0
2018-11-08,4741.0
2018-11-09,5901.0
2018-11-10,4319.0
2018-11-11,-1669.0
2018-11-12,-2326.0
2018-11-13,-9127.0
2018-11-14,1343.0
2018-11-15,2561.0
2018-11-16,8894.0
2018-11-17,-10602.0
2018-11-18,-1421.0
2018-11-19,-5.0
2018-11-20,-17188.0
2018-11-21,10063.0
2018-11-22,0.0
2018-11-23,1882.0
2018-11-24,456.0
2018-11-25,0.0
2018-11-26,-2814.0
2018-11-27,1847.0
2018-11-28,454.0
2018-11-29,-7034.0
2018-11-30,433.0
2018-12-01,3462.0
2018-12-02,-4235.0
2018-12-03,-1742.0
2018-12-04,-2363.0
2018-12-05,2155.0
2018-12-06,-4207.0
2018-12-07,-2222.0
2018-12-08,65.0
2018-12-09,0.0
2018-12-10,-2996.0
2018-12-11,3736.0
2018-12-12,91.0
2018-12-13,9508.0
2018-12-14,0.0
2018-12-15,0.0
2018-12-16,0.0
2018-12-17,0.0
2018-12-18,0.0
2018-12-19,-7732.0
2018-12-20,-5020.0
2018-12-21,-20764.0
2018-12-22,0.0
2018-12-24,0.0
2018-12-25,0.0
2018-12-26,0.0
2018-12-27,0.0
2018-12-28,-7264.0
2018-12-29,0.0
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,0.0
2019-01-05,2557.0
2019-01-07,0.0
2019-01-08,1779.0
2019-01-09,2470.0
2019-01-10,-1902.0
2019-01-11,-2951.0
2019-01-12,3149.0
2019-01-14,0.0
2019-01-15,0.0
2019-01-16,2328.0
2019-01-17,-6028.0
2019-01-18,6232.0
2019-01-19,3133.0
2019-01-21,0.0
2019-01-22,9.0
2019-01-23,0.0
2019-01-24,-7000.0
2019-01-25,0.0
2019-01-26,0.0
2019-01-28,-20460.0
2019-01-29,-8416.0
2019-01-30,4372.0
2019-01-31,4365.0
2019-02-01,0.0
2019-02-02,4368.0
2019-02-03,-8760.0
2019-02-11,0.0
2019-02-12,0.0
2019-02-13,3201.0
2019-02-14,-5562.0
2019-02-15,-6864.0
2019-02-16,3727.0
2019-02-18,0.0
2019-02-19,3210.0
2019-02-20,-36360.0
2019-02-21,-8012.0
2019-02-22,0.0
2019-02-23,2861.0
2019-02-25,-7037.0
2019-02-26,-3076.0
2019-02-27,-1943.0
2019-02-28,-4410.0
2019-03-01,2942.0
2019-03-02,0.0
2019-03-04,-2063.0
2019-03-05,-1635.0
2019-03-06,-7895.0
2019-03-07,-2219.0
2019-03-08,-4670.0
2019-03-09,3515.0
2019-03-10,875.0
2019-03-11,18937.0
2019-03-12,-2970.0
2019-03-13,3318.0
2019-03-14,-21677.0
2019-03-15,2291.0
2019-03-16,2665.0
2019-03-18,0.0
2019-03-19,0.0
2019-03-20,272.0
2019-03-21,2683.0
2019-03-22,2097.0
2019-03-23,2010.0
2019-03-24,0.0
2019-03-25,-1995.0
2019-03-26,-68482.0
2019-03-27,-1518.0
2019-03-28,2082.0
2019-03-29,-8581.0
2019-03-30,3280.0
2019-03-31,0.0
2019-04-01,3789.0
2019-04-02,2771.0
2019-04-03,638.0
2019-04-04,5035.0
2019-04-05,0.0
2019-04-06,0.0
2019-04-08,3697.0
2019-04-09,3410.0
2019-04-10,-1572.0
2019-04-11,0.0
2019-04-12,3688.0
2019-04-13,2311.0
2019-04-15,2400.0
2019-04-16,-2472.0
2019-04-17,-8174.0
2019-04-18,-286.0
2019-04-19,-5739.0
2019-04-20,0.0
2019-04-22,-3424.0
2019-04-23,-957.0
2019-04-24,-255.0
2019-04-25,2769.0
2019-04-26,-5826.0
2019-04-27,2563.0
2019-04-28,7674.0
2019-04-29,-2224.0
2019-04-30,-26360.0
2019-05-01,0.0
2019-05-06,-4518.0
2019-05-07,-3919.0
